code,parent_code,budget_income,budget_expense,COD_INS_CAR_TRA,NOMB_CTA_CONT_CENT,TIPO_CUEN_CONT,NATURA_SALDO,TIENE_SUBCTA,NIVEL,TIPO_EJEC_PTO_INGR,TIPO_EJEC_PTO_EGRE,TIP_FLU_FDO_DEB,TIP_FLU_FDO_HAB,id_temporal,longitud,parent_id,budget_income_id_temporal,budget_expense_id_temporal
21127001,21127,0,0,,Bonos,A,D,N,5,0,0,7,7,31,8,30,0,0
21127002,21127,0,0,,Letras del Tesoro,A,D,N,5,0,0,7,7,32,8,30,0,0
21127003,21127,0,0,,Notas de Crédito del Tesoro Público,A,D,N,5,0,0,7,7,33,8,30,0,0
21127004,21127,0,0,,Cédulas Hipotecarias,A,D,N,5,0,0,7,7,34,8,30,0,0
21127005,21127,0,0,,Depósitos a Plazo,A,D,N,5,0,0,7,7,35,8,30,0,0
21127006,21127,0,0,,Acciones,A,D,N,5,0,0,7,7,36,8,30,0,0
21127007,21127,0,0,,Participación de Capital,A,D,N,5,0,0,7,7,37,8,30,0,0
21127008,21127,0,0,,Bonos M/E,A,D,N,5,0,0,7,7,38,8,30,0,0
21127009,21127,0,0,,Letras del Tesoro M/E,A,D,N,5,0,0,7,7,39,8,30,0,0
21127010,21127,0,0,,Cédulas Hipotecarias,A,D,N,5,0,0,7,7,40,8,30,0,0
21127011,21127,0,0,,Depósitos a Plazo M/E,A,D,N,5,0,0,7,7,41,8,30,0,0
21127012,21127,0,0,,Acciones M/E,A,D,N,5,0,0,7,7,42,8,30,0,0
21127013,21127,0,0,,Participación de Capital M/E,A,D,N,5,0,0,7,7,43,8,30,0,0
21127014,21127,0,0,,Derechos Especiales de Giro (DEG),A,D,N,5,0,0,7,7,44,8,30,0,0
21127015,21127,0,0,,Descuento sobre Compra de Titulosvalores,A,D,N,5,0,0,7,7,45,8,30,0,0
21127016,21127,0,0,,Provisión de Inversiones Temporales,A,D,N,5,0,0,7,7,46,8,30,0,0
21127017,21127,0,0,,Moneda Digital - Estable,A,D,N,5,0,0,7,7,47,8,30,0,0
21129,211,0,0,,Depósitos en Críptomonedas,A,D,N,4,0,0,7,7,48,5,3,0,0
21129001,21129,0,0,,Recepción de Críptomonedas de Inversionistas para Inversión ,A,D,N,5,0,0,7,7,49,8,48,0,0
21129002,21129,0,0,,Recepción de Donación en Críptomonedas para Inversión,A,D,N,5,0,0,7,7,50,8,48,0,0
21129003,21129,0,0,,Recepción de Críptomonedas como Medio de Pago,A,D,N,5,0,0,7,7,51,8,48,0,0
21151,211,0,0,,Fondos Depósitos en Tesoro Público,A,D,S,4,0,0,7,7,52,5,3,0,0
21151001,21151,0,0,,Fondos en Depósitos en Tesoro Público,A,D,N,5,0,0,7,7,53,8,52,0,0
21151935,21151,0,0,,Dirección General de Tesorería,A,D,N,5,0,0,7,7,54,8,52,0,0
21153,211,0,0,,Fondos Depósitos en Dependencias Institucionales,A,D,S,4,0,0,7,7,55,5,3,0,0
21153001,21153,0,0,,Fondos Depósitos en Dependencias Institucionales,A,D,N,5,0,0,7,7,56,8,55,0,0
21155,211,0,0,,Derechos Especiales de Giro,A,D,N,4,0,0,0,0,57,5,3,0,0
21155001,21155,0,0,,DEG-Gobierno de El Salvador,A,D,N,5,0,0,7,7,58,8,57,0,0
21191,211,0,0,,Fondos en Tránsito,A,D,S,4,0,0,7,7,59,5,3,0,0
21191001,21191,0,0,,Fondos en Tránsito,A,D,N,5,0,0,7,7,60,8,59,0,0
212,21,0,0,,Anticipos de Fondos,A,D,S,3,0,0,0,0,61,3,2,0,0
21201,212,0,0,,Anticipos a Empleados,A,D,S,4,0,0,6,3,62,5,61,0,0
21201001,21201,0,0,,Anticipos a Empleados,A,D,N,5,0,0,6,3,63,8,62,0,0
21203,212,0,0,,Anticipos por Servicios,A,D,S,4,0,0,6,3,64,5,61,0,0
21203001,21203,0,0,,Anticipos por Servicios,A,D,N,5,0,0,6,3,65,8,64,0,0
21205,212,0,0,,Anticipos por Intereses,A,D,S,4,0,0,6,3,66,5,61,0,0
21205001,21205,0,0,,Anticipos por Intereses,A,D,N,5,0,0,6,3,67,8,66,0,0
21207,212,0,0,,Anticipos a Contratistas,A,D,S,4,0,0,6,3,68,5,61,0,0
21207001,21207,0,0,,Anticipos a Contratistas,A,D,N,5,0,0,6,3,69,8,68,0,0
21209,212,0,0,,Anticipos a Proveedores,A,D,S,4,0,0,6,3,70,5,61,0,0
21209001,21209,0,0,,Anticipos a Proveedores,A,D,N,5,0,0,6,3,71,8,70,0,0
21211,212,0,0,,Anticipos para Apertura de Cartas de Crédito,A,D,S,4,0,0,6,3,72,5,61,0,0
21211001,21211,0,0,,Anticipos para Apertura de Cartas de Crédito,A,D,N,5,0,0,6,3,73,8,72,0,0
21213,212,0,0,,Anticipos de Fondos a Dependencias Institucionales,A,D,S,4,0,0,6,3,74,5,61,0,0
21213001,21213,0,0,,Anticipos de Fondos a Dependencias Institucionales,A,D,N,5,0,0,6,3,75,8,74,0,0
21213800,21213,0,0,100.0,Asamblea Legislativa,A,D,N,5,0,0,6,3,76,8,74,0,0
21213802,21213,0,0,1600.0,Corte Suprema de Justicia,A,D,N,5,0,0,6,3,77,8,74,0,0
21213803,21213,0,0,1601.0,Caja Mutual del Abogado de El Salvador (CAMUDASAL),A,D,N,5,0,0,6,3,78,8,74,0,0
21213804,21213,0,0,1500.0,Consejo Nacional de la Judicatura,A,D,N,5,0,0,6,3,79,8,74,0,0
21213805,21213,0,0,200.0,Corte de Cuentas de la República,A,D,N,5,0,0,6,3,80,8,74,0,0
21213807,21213,0,0,300.0,Tribunal Supremo Electoral,A,D,N,5,0,0,6,3,81,8,74,0,0
21213808,21213,0,0,301.0,Registro Nacional de las Personas Naturales,A,D,N,5,0,0,6,3,82,8,74,0,0
21213810,21213,0,0,400.0,Tribunal de Servicio Civil,A,D,N,5,0,0,6,3,83,8,74,0,0
21213812,21213,0,0,1700.0,Fiscalía General de la República,A,D,N,5,0,0,6,3,84,8,74,0,0
21213814,21213,0,0,1800.0,Procuraduría General de la República,A,D,N,5,0,0,6,3,85,8,74,0,0
21213816,21213,0,0,1900.0,Procuraduría para la Defensa de los Derechos Humanos,A,D,N,5,0,0,6,3,86,8,74,0,0
21213818,21213,0,0,500.0,Presidencia de la República,A,D,N,5,0,0,6,3,87,8,74,0,0
21213819,21213,0,0,501.0,Instituto Nacional de los Deportes de El Salvador (INDES),A,D,N,5,0,0,6,3,88,8,74,0,0
21213820,21213,0,0,502.0,Instituto Salvadoreño de Protección al Menor,A,D,N,5,0,0,6,3,89,8,74,0,0
21213821,21213,0,0,503.0,Administración Nacional de Telecomunicaciones (Antel),A,D,N,5,0,0,6,3,90,8,74,0,0
21213822,21213,0,0,504.0,Instituto Salvadoreño para el Desarrollo de la Mujer (ISDEMU),A,D,N,5,0,0,6,3,91,8,74,0,0
21213823,21213,0,0,505.0,Fondo de Inversión Social para el Desarrollo Local de El Salvador (FISDL),A,D,N,5,0,0,6,3,92,8,74,0,0
21213824,21213,0,0,,Fondo Solidario para la Familia Microempresaria (FOSOFAMILIA),A,D,N,5,0,0,6,3,93,8,74,0,0
21213825,21213,0,0,700.0,Ministerio de Hacienda,A,D,N,5,0,0,6,3,94,8,74,0,0
21213826,21213,0,0,701.0,Lotería Nacional de Beneficencia (LNB),A,D,N,5,0,0,6,3,95,8,74,0,0
21213827,21213,0,0,702.0,Instituto Nacional de Pensiones de los Empleados Públicos (INPEP),A,D,N,5,0,0,6,3,96,8,74,0,0
21213828,21213,0,0,704.0,Fondo Salvadoreño para Estudios de Preinversión (FOSEP),A,D,N,5,0,0,6,3,97,8,74,0,0
21213830,21213,0,0,800.0,Ministerio de Relaciones Exteriores,A,D,N,5,0,0,6,3,98,8,74,0,0
21213831,21213,0,0,,Secretaría Externa de Financiamiento Externo (SETEFE),A,D,N,5,0,0,6,3,99,8,74,0,0
21213833,21213,0,0,2000.0,Ministerio del Interior,A,D,N,5,0,0,6,3,100,8,74,0,0
21213834,21213,0,0,2002.0,Instituto Salvadoreño de Desarrollo Municipal (ISDEM),A,D,N,5,0,0,6,3,101,8,74,0,0
21213836,21213,0,0,900.0,Ministerio de la Defensa Nacional,A,D,N,5,0,0,6,3,102,8,74,0,0
21213837,21213,0,0,901.0,Instituto de Previsión Social de la Fuerza Armada (IPSFA),A,D,N,5,0,0,6,3,103,8,74,0,0
21213838,21213,0,0,902.0,Centro Farmacéutico de la Fuerza Armada (CEFAFA),A,D,N,5,0,0,6,3,104,8,74,0,0
21213840,21213,0,0,2100.0,Ministerio de Seguridad Pública y Justicia,A,D,N,5,0,0,6,3,105,8,74,0,0
21213841,21213,0,0,2101.0,Academia Nacional de Seguridad Pública (ANSP),A,D,N,5,0,0,6,3,106,8,74,0,0
21213842,21213,0,0,2102.0,Unidad Técnica Ejecutiva (UTE),A,D,N,5,0,0,6,3,107,8,74,0,0
21213843,21213,0,0,2200.0,Ministerio de Justicia,A,D,N,5,0,0,6,3,108,8,74,0,0
21213847,21213,0,0,3100.0,Ministerio de Educación,A,D,N,5,0,0,6,3,109,8,74,0,0
21213848,21213,0,0,3101.0,Universidad de El Salvador (UES),A,D,N,5,0,0,6,3,110,8,74,0,0
21213849,21213,0,0,3102.0,Federación Salvadoreña de Fútbol (FEDEFUTBOL),A,D,N,5,0,0,6,3,111,8,74,0,0
21213850,21213,0,0,3104.0,Fondo de Garantía para el Crédito Educativo (EDUCREDITO),A,D,N,5,0,0,6,3,112,8,74,0,0
21213851,21213,0,0,3105.0,Caja Mutual de los Empleados del Ministerio de Educación,A,D,N,5,0,0,6,3,113,8,74,0,0
21213853,21213,0,0,3200.0,Ministerio de Salud Pública y Asistencia Social,A,D,N,5,0,0,6,3,114,8,74,0,0
21213854,21213,0,0,3201.0,Hospital Nacional Rosales,A,D,N,5,0,0,6,3,115,8,74,0,0
21213855,21213,0,0,3202.0,"Hospital Nacional ""Benjamín Bloom""",A,D,N,5,0,0,6,3,116,8,74,0,0
21213856,21213,0,0,3203.0,"Hospita Nacional de Maternidad ""Dr. Raul Arguello Escolán""",A,D,N,5,0,0,6,3,117,8,74,0,0
21213857,21213,0,0,3204.0,"Hospital Nacional Psiquiátrico ""Dr. José Molina Martínez""",A,D,N,5,0,0,6,3,118,8,74,0,0
21213858,21213,0,0,3205.0,"Hospital Nacional Neumológico ""Dr. José Antonio Zaldaña""",A,D,N,5,0,0,6,3,119,8,74,0,0
21213859,21213,0,0,3206.0,"Hospital Nacional ""San Juan de Dios"", Santa Ana",A,D,N,5,0,0,6,3,120,8,74,0,0
21213860,21213,0,0,3207.0,"Hospital Nacional ""Francisco Menéndez"", Ahuachapán",A,D,N,5,0,0,6,3,121,8,74,0,0
21213861,21213,0,0,3208.0,"Hospital Nacional ""Dr.Jorge Mazzini Villacorta"", Sonsonate",A,D,N,5,0,0,6,3,122,8,74,0,0
21213862,21213,0,0,3209.0,"Hospital Nacional ""Dr. Luis Edmundo Vásquez"", Chalatenango",A,D,N,5,0,0,6,3,123,8,74,0,0
21213863,21213,0,0,3210.0,"Hospital Nacional ""San Rafael"", Nueva San Salvador",A,D,N,5,0,0,6,3,124,8,74,0,0
21213864,21213,0,0,3211.0,"Hospital Nacional ""Santa Gertrudis"", San Vicente",A,D,N,5,0,0,6,3,125,8,74,0,0
21213865,21213,0,0,3212.0,"Hospital Nacional ""Santa Teresa"", Zacatecoluca",A,D,N,5,0,0,6,3,126,8,74,0,0
21213866,21213,0,0,3213.0,"Hospital Nacional ""San Juan de Dios"", San Miguel",A,D,N,5,0,0,6,3,127,8,74,0,0
21213867,21213,0,0,3214.0,"Hospital Nacional ""San Pedro"", Usulután",A,D,N,5,0,0,6,3,128,8,74,0,0
21213868,21213,0,0,3215.0,"Hospital Nacional ""Dr. Juan José Fernández"", Zacamil",A,D,N,5,0,0,6,3,129,8,74,0,0
21213869,21213,0,0,3216.0,Hospital Nacional de San Bartolo,A,D,N,5,0,0,6,3,130,8,74,0,0
21213870,21213,0,0,3217.0,Hospital Nacional de Cojutepeque,A,D,N,5,0,0,6,3,131,8,74,0,0
21213871,21213,0,0,3218.0,Hospital Nacional de la Unión,A,D,N,5,0,0,6,3,132,8,74,0,0
21213872,21213,0,0,3219.0,Hospital Nacional de Ilobasco,A,D,N,5,0,0,6,3,133,8,74,0,0
21213873,21213,0,0,3220.0,Hospital Nacional de Nueva Guadalupe,A,D,N,5,0,0,6,3,134,8,74,0,0
21213874,21213,0,0,3221.0,Hospital Nacional de Ciudad Barrios,A,D,N,5,0,0,6,3,135,8,74,0,0
21213875,21213,0,0,3222.0,Hospital Nacional de Sensuntepeque,A,D,N,5,0,0,6,3,136,8,74,0,0
21213876,21213,0,0,3223.0,Hospital Nacional de Chalchuapa,A,D,N,5,0,0,6,3,137,8,74,0,0
21213877,21213,0,0,3224.0,Hospital Nacional de Metapán,A,D,N,5,0,0,6,3,138,8,74,0,0
21213878,21213,0,0,3225.0,Hospital Nacional de San Francisco Gotera,A,D,N,5,0,0,6,3,139,8,74,0,0
21213879,21213,0,0,3226.0,Hospital Nacional de Santa Rosa de Lima,A,D,N,5,0,0,6,3,140,8,74,0,0
21213880,21213,0,0,3227.0,Hospital Nacional de Nueva Concepción,A,D,N,5,0,0,6,3,141,8,74,0,0
21213881,21213,0,0,3228.0,Hospital Nacional de Santiago de María,A,D,N,5,0,0,6,3,142,8,74,0,0
21213882,21213,0,0,3229.0,Hospital Nacional de Jiquilisco,A,D,N,5,0,0,6,3,143,8,74,0,0
21213883,21213,0,0,3230.0,Hospital Nacional de Suchitoto,A,D,N,5,0,0,6,3,144,8,74,0,0
21213884,21213,0,0,3231.0,Consejo Superior de Salud Pública,A,D,N,5,0,0,6,3,145,8,74,0,0
21213885,21213,0,0,3232.0,Instituto Salvadoreño de Rehabilitación de Inválidos (ISRI),A,D,N,5,0,0,6,3,146,8,74,0,0
21213886,21213,0,0,3233.0,"Hogar de Ancianos ""Narcisa Castillo"", Santa Ana",A,D,N,5,0,0,6,3,147,8,74,0,0
21213887,21213,0,0,3234.0,Cruz Roja Salvadoreña,A,D,N,5,0,0,6,3,148,8,74,0,0
21213890,21213,0,0,3300.0,Ministerio de Trabajo y Previsión Social,A,D,N,5,0,0,6,3,149,8,74,0,0
21213891,21213,0,0,3301.0,Instituto Salvadoreño de Fomento Cooperativo (INSAFOCOOP),A,D,N,5,0,0,6,3,150,8,74,0,0
21213892,21213,0,0,3302.0,Instituto Salvadoreño de Formación Profesional (INSAFORP),A,D,N,5,0,0,6,3,151,8,74,0,0
21213893,21213,0,0,3303.0,Instituto Salvadoreño del Seguro Social (ISSS),A,D,N,5,0,0,6,3,152,8,74,0,0
21213894,21213,0,0,3304.0,Fondo de Protección de Lisiados y Discapacitados a Consecuencia del Conflicto A.,A,D,N,5,0,0,6,3,153,8,74,0,0
21213896,21213,0,0,4100.0,Ministerio de Economía,A,D,N,5,0,0,6,3,154,8,74,0,0
21213897,21213,0,0,4101.0,Comité Ejecutivo de la Feria Internacional de El Salvador (FIES),A,D,N,5,0,0,6,3,155,8,74,0,0
21213898,21213,0,0,4102.0,Consejo Nacional de Ciencia y Tecnología (CONACYT),A,D,N,5,0,0,6,3,156,8,74,0,0
21213899,21213,0,0,4103.0,Consejo de Vigilancia de la Contaduría Pública y Auditoría,A,D,N,5,0,0,6,3,157,8,74,0,0
21213900,21213,0,0,4104.0,Instituto Salvadoreño de Turismo (ISTU),A,D,N,5,0,0,6,3,158,8,74,0,0
21213901,21213,0,0,4105.0,Consejo Salvadoreño del Café (CSC),A,D,N,5,0,0,6,3,159,8,74,0,0
21213902,21213,0,0,4106.0,Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),A,D,N,5,0,0,6,3,160,8,74,0,0
21213903,21213,0,0,4107.0,Fondo de Financiamiento y Garantía para la Pequeña Empresa (FIGAPE),A,D,N,5,0,0,6,3,161,8,74,0,0
21213904,21213,0,0,4108.0,Corporación Salvadoreña de Turismo (CORSATUR),A,D,N,5,0,0,6,3,162,8,74,0,0
21213905,21213,0,0,4109.0,Superintendencia General de Electricidad y Telecomunicaciones (SIGET),A,D,N,5,0,0,6,3,163,8,74,0,0
21213906,21213,0,0,4110.0,Superintendencia de Valores (S.V.),A,D,N,5,0,0,6,3,164,8,74,0,0
21213907,21213,0,0,4111.0,Superintendencia de Pensiones (S.P.),A,D,N,5,0,0,6,3,165,8,74,0,0
21213908,21213,0,0,4112.0,Corporación Salvadoreña de Inversiones (CORSAIN),A,D,N,5,0,0,6,3,166,8,74,0,0
21213909,21213,0,0,4113.0,Instituto Nacional del Azúcar (INAZUCAR),A,D,N,5,0,0,6,3,167,8,74,0,0
21213910,21213,0,0,4115.0,Fondo de Inversión Nacional de Electricidad y Telefonía (FINET),A,D,N,5,0,0,6,3,168,8,74,0,0
21213911,21213,0,0,2201.0,Centro Nacional de Registros (CNR),A,D,N,5,0,0,6,3,169,8,74,0,0
21213914,21213,0,0,4200.0,Ministerio de Agricultura y Ganadería,A,D,N,5,0,0,6,3,170,8,74,0,0
21213915,21213,0,0,4201.0,Instituto Salvadoreño de Transformación Agraria (ISTA),A,D,N,5,0,0,6,3,171,8,74,0,0
21213916,21213,0,0,4202.0,Centro Nacional de Tecnología Agropecuaria y Forestal (CENTA),A,D,N,5,0,0,6,3,172,8,74,0,0
21213917,21213,0,0,4203.0,Escuela Nacional de Agricultura (ENA),A,D,N,5,0,0,6,3,173,8,74,0,0
21213919,21213,0,0,4300.0,Ministerio de Obras Públicas,A,D,N,5,0,0,6,3,174,8,74,0,0
21213920,21213,0,0,4301.0,Administración Nacional de Acueductos y Alcantarillados (ANDA),A,D,N,5,0,0,6,3,175,8,74,0,0
21213921,21213,0,0,4302.0,Fondo Social para la Vivienda (FSV),A,D,N,5,0,0,6,3,176,8,74,0,0
21213922,21213,0,0,4303.0,Comisión Ejecutiva Portuaria Autónoma (CEPA),A,D,N,5,0,0,6,3,177,8,74,0,0
21213925,21213,0,0,3400.0,Ministerio de Vivienda y Desarrollo Urbano,A,D,N,5,0,0,6,3,178,8,74,0,0
21213926,21213,0,0,3401.0,Fondo Nacional de Vivienda Popular (FONAVIPO),A,D,N,5,0,0,6,3,179,8,74,0,0
21213928,21213,0,0,4400.0,Ministerio del Medio Ambiente y Recursos Naturales,A,D,N,5,0,0,6,3,180,8,74,0,0
21213929,21213,0,0,4401.0,Fondo Ambiental de El Salvador (FONAES),A,D,N,5,0,0,6,3,181,8,74,0,0
21213931,21213,0,0,4500.0,Ministerio de Transporte,A,D,N,5,0,0,6,3,182,8,74,0,0
21213933,21213,0,0,,Obligaciones y Transferencias Generales del Estado,A,D,N,5,0,0,6,3,183,8,74,0,0
21213934,21213,0,0,,Deuda Pública,A,D,N,5,0,0,6,3,184,8,74,0,0
21213935,21213,0,0,703.0,Tesoro Público (DGT),A,D,N,5,0,0,6,3,185,8,74,0,0
21213937,21213,0,0,,Corporación de Municipalidades de la República de El Salvador (COMURES),A,D,N,5,0,0,6,3,186,8,74,0,0
21213938,21213,0,0,,Oficina de Planificación del Area Metropolitana de San Salvador (OPAMSS),A,D,N,5,0,0,6,3,187,8,74,0,0
21213940,21213,0,0,,Instituto de Garantía de Depósito (IGD),A,D,N,5,0,0,6,3,188,8,74,0,0
21213950,21213,0,0,,Municipios del Departamento de San Salvador,A,D,N,5,0,0,6,3,189,8,74,0,0
21213951,21213,0,0,,Municipios del Departamento de Santa Ana,A,D,N,5,0,0,6,3,190,8,74,0,0
21213952,21213,0,0,,Municipios del Departamento de Ahuachapán,A,D,N,5,0,0,6,3,191,8,74,0,0
21213953,21213,0,0,,Municipios del Departamento de Sonsonate,A,D,N,5,0,0,6,3,192,8,74,0,0
21213954,21213,0,0,,Municipios del Departamento de Chalatenango,A,D,N,5,0,0,6,3,193,8,74,0,0
21213955,21213,0,0,,Municipios del Departamento de La Libertad,A,D,N,5,0,0,6,3,194,8,74,0,0
21213956,21213,0,0,,Municipios del Departamento de Cuscatlán,A,D,N,5,0,0,6,3,195,8,74,0,0
21213957,21213,0,0,,Municipios del Departamento de La Paz,A,D,N,5,0,0,6,3,196,8,74,0,0
21213958,21213,0,0,,Municipios del Departamento de San Vicente,A,D,N,5,0,0,6,3,197,8,74,0,0
21213959,21213,0,0,,Municipios del Departamento de Cabañas,A,D,N,5,0,0,6,3,198,8,74,0,0
21213960,21213,0,0,,Municipios del Departamento de Usulután,A,D,N,5,0,0,6,3,199,8,74,0,0
21213961,21213,0,0,,Municipios del Departamento de San Miguel,A,D,N,5,0,0,6,3,200,8,74,0,0
21213962,21213,0,0,,Municipios del Departamento de Morazán,A,D,N,5,0,0,6,3,201,8,74,0,0
21213963,21213,0,0,,Municipios del Departamento de La Unión,A,D,N,5,0,0,6,3,202,8,74,0,0
21213971,21213,0,0,3203.0,Hospital Nacional de la Mujer,A,D,N,5,0,0,6,3,203,8,74,0,0
21213972,21213,0,0,4206.0,Consejo Salvadoreño del Café (CSC),A,D,N,5,0,0,6,3,204,8,74,0,0
21213975,21213,0,0,3106.0,Instituto Salvadoreño para el Desarrollo Integral de la Niñez y la Adolescencia,A,D,N,5,0,0,6,3,205,8,74,0,0
21213976,21213,0,0,4122.0,Comisión Nacional de la Micro y Pequeña Empresa (CONAMYPE),A,D,N,5,0,0,6,3,206,8,74,0,0
21215,212,0,0,,Anticipo Pago IVA por Retención,A,D,N,4,0,0,6,3,207,5,61,0,0
21215001,21215,0,0,,Anticipo Pago IVA por Retención,A,D,N,5,0,0,6,3,208,8,207,0,0
21215935,21215,0,0,,Tesoro Publico,A,D,N,5,0,0,6,3,209,8,207,0,0
21217,212,0,0,,Anticipo Pago IVA por Percepción,A,D,N,4,0,0,6,3,210,5,61,0,0
21217001,21217,0,0,,Anticipo Pago IVA por Percepción,A,D,N,5,0,0,6,3,211,8,210,0,0
21291,212,0,0,,Anticipos de Fondos al Banco Central de Reserva,A,D,S,4,0,0,6,3,212,5,61,0,0
21291001,21291,0,0,,Anticipos de Fondos al Banco Central de Reserva,A,D,N,5,0,0,6,3,213,8,212,0,0
21293,212,0,0,,Anticipos de Fondos de Convenios a Instituciones Públicas,A,D,S,4,0,0,6,3,214,5,61,0,0
21293001,21293,0,0,,Anticipos de Fondos de Convenios a Instituciones Públicas,A,D,N,5,0,0,6,3,215,8,214,0,0
21293800,21293,0,0,100.0,Asamblea Legislativa,A,D,N,5,0,0,6,3,216,8,214,0,0
21293802,21293,0,0,1600.0,Corte Suprema de Justicia,A,D,N,5,0,0,6,3,217,8,214,0,0
21293803,21293,0,0,1601.0,Caja Mutual del Abogado de El Salvador (CAMUDASAL),A,D,N,5,0,0,6,3,218,8,214,0,0
21293804,21293,0,0,1602.0,Consejo Nacional de la Judicatura,A,D,N,5,0,0,6,3,219,8,214,0,0
21293805,21293,0,0,200.0,Corte de Cuentas de la República,A,D,N,5,0,0,6,3,220,8,214,0,0
21293807,21293,0,0,300.0,Tribunal Supremo Electoral,A,D,N,5,0,0,6,3,221,8,214,0,0
21293808,21293,0,0,301.0,Registro Nacional de las Personas Naturales,A,D,N,5,0,0,6,3,222,8,214,0,0
21293810,21293,0,0,400.0,Tribunal de Servicio Civil,A,D,N,5,0,0,6,3,223,8,214,0,0
21293812,21293,0,0,1700.0,Fiscalía General de la República,A,D,N,5,0,0,6,3,224,8,214,0,0
21293814,21293,0,0,1800.0,Procuraduría General de la República,A,D,N,5,0,0,6,3,225,8,214,0,0
21293816,21293,0,0,1900.0,Procuraduría para la Defensa de los Derechos Humanos,A,D,N,5,0,0,6,3,226,8,214,0,0
21293818,21293,0,0,500.0,Presidencia de la República,A,D,N,5,0,0,6,3,227,8,214,0,0
21293819,21293,0,0,501.0,Instituto Nacional de los Deportes de El Salvador (INDES),A,D,N,5,0,0,6,3,228,8,214,0,0
21293820,21293,0,0,502.0,Instituto Salvadoreño de Protección al Menor,A,D,N,5,0,0,6,3,229,8,214,0,0
21293821,21293,0,0,503.0,Administración Nacional de Telecomunicaciones (ANTEL),A,D,N,5,0,0,6,3,230,8,214,0,0
21293822,21293,0,0,504.0,Instituto Salvadoreño para el Desarrollo de la Mujer (ISDEMU),A,D,N,5,0,0,6,3,231,8,214,0,0
