CTA_CONT_CENT;CTA_CONT_CENT_PADR;CLAS_PRES_INGR;CLAS_PRES_EGRE;COD_INS_CAR_TRA;NOMB_CTA_CONT_CENT;TIPO_CUEN_CONT;NATURA_SALDO;TIENE_SUBCTA;NIVEL;TIPO_EJEC_PTO_INGR;TIPO_EJEC_PTO_EGRE;TIP_FLU_FDO_DEB;TIP_FLU_FDO_HAB
21213840;21213;;;2100;Ministerio de Seguridad Pública y Justicia;A;D;N;5;0;0;6;3
21213841;21213;;;2101;Academia Nacional de Seguridad Pública (ANSP);A;D;N;5;0;0;6;3
21213842;21213;;;2102;Unidad Técnica Ejecutiva (UTE);A;D;N;5;0;0;6;3
21213843;21213;;;2200;Ministerio de Justicia;A;D;N;5;0;0;6;3
21213847;21213;;;3100;Ministerio de Educación;A;D;N;5;0;0;6;3
21213848;21213;;;3101;Universidad de El Salvador (UES);A;D;N;5;0;0;6;3
21213849;21213;;;3102;Federación Salvadoreña de Fútbol (FEDEFUTBOL);A;D;N;5;0;0;6;3
21213850;21213;;;3104;Fondo de Garantía para el Crédito Educativo (EDUCREDITO);A;D;N;5;0;0;6;3
21213851;21213;;;3105;Caja Mutual de los Empleados del Ministerio de Educación;A;D;N;5;0;0;6;3
21213853;21213;;;3200;Ministerio de Salud Pública y Asistencia Social;A;D;N;5;0;0;6;3
21213854;21213;;;3201;Hospital Nacional Rosales;A;D;N;5;0;0;6;3
21213855;21213;;;3202;"Hospital Nacional ""Benjamín Bloom""";A;D;N;5;0;0;6;3
21213856;21213;;;3203;"Hospita Nacional de Maternidad ""Dr. Raul Arguello Escolán""";A;D;N;5;0;0;6;3
21213857;21213;;;3204;"Hospital Nacional Psiquiátrico ""Dr. José Molina Martínez""";A;D;N;5;0;0;6;3
21213858;21213;;;3205;"Hospital Nacional Neumológico ""Dr. José Antonio Zaldaña""";A;D;N;5;0;0;6;3
21213859;21213;;;3206;"Hospital Nacional ""San Juan de Dios"", Santa Ana";A;D;N;5;0;0;6;3
21213860;21213;;;3207;"Hospital Nacional ""Francisco Menéndez"", Ahuachapán";A;D;N;5;0;0;6;3
21213861;21213;;;3208;"Hospital Nacional ""Dr.Jorge Mazzini Villacorta"", Sonsonate";A;D;N;5;0;0;6;3
21213862;21213;;;3209;"Hospital Nacional ""Dr. Luis Edmundo Vásquez"", Chalatenango";A;D;N;5;0;0;6;3
21213863;21213;;;3210;"Hospital Nacional ""San Rafael"", Nueva San Salvador";A;D;N;5;0;0;6;3
21213864;21213;;;3211;"Hospital Nacional ""Santa Gertrudis"", San Vicente";A;D;N;5;0;0;6;3
21213865;21213;;;3212;"Hospital Nacional ""Santa Teresa"", Zacatecoluca";A;D;N;5;0;0;6;3
21213866;21213;;;3213;"Hospital Nacional ""San Juan de Dios"", San Miguel";A;D;N;5;0;0;6;3
21213867;21213;;;3214;"Hospital Nacional ""San Pedro"", Usulután";A;D;N;5;0;0;6;3
21213868;21213;;;3215;"Hospital Nacional ""Dr. Juan José Fernández"", Zacamil";A;D;N;5;0;0;6;3
21213869;21213;;;3216;Hospital Nacional de San Bartolo;A;D;N;5;0;0;6;3
21213870;21213;;;3217;Hospital Nacional de Cojutepeque;A;D;N;5;0;0;6;3
21213871;21213;;;3218;Hospital Nacional de la Unión;A;D;N;5;0;0;6;3
21213872;21213;;;3219;Hospital Nacional de Ilobasco;A;D;N;5;0;0;6;3
21213873;21213;;;3220;Hospital Nacional de Nueva Guadalupe;A;D;N;5;0;0;6;3
21213874;21213;;;3221;Hospital Nacional de Ciudad Barrios;A;D;N;5;0;0;6;3
21213875;21213;;;3222;Hospital Nacional de Sensuntepeque;A;D;N;5;0;0;6;3
21213876;21213;;;3223;Hospital Nacional de Chalchuapa;A;D;N;5;0;0;6;3
21213877;21213;;;3224;Hospital Nacional de Metapán;A;D;N;5;0;0;6;3
21213878;21213;;;3225;Hospital Nacional de San Francisco Gotera;A;D;N;5;0;0;6;3
21213879;21213;;;3226;Hospital Nacional de Santa Rosa de Lima;A;D;N;5;0;0;6;3
21213880;21213;;;3227;Hospital Nacional de Nueva Concepción;A;D;N;5;0;0;6;3
21213881;21213;;;3228;Hospital Nacional de Santiago de María;A;D;N;5;0;0;6;3
21213882;21213;;;3229;Hospital Nacional de Jiquilisco;A;D;N;5;0;0;6;3
21213883;21213;;;3230;Hospital Nacional de Suchitoto;A;D;N;5;0;0;6;3
21213884;21213;;;3231;Consejo Superior de Salud Pública;A;D;N;5;0;0;6;3
21213885;21213;;;3232;Instituto Salvadoreño de Rehabilitación de Inválidos (ISRI);A;D;N;5;0;0;6;3
21213886;21213;;;3233;"Hogar de Ancianos ""Narcisa Castillo"", Santa Ana";A;D;N;5;0;0;6;3
21213887;21213;;;3234;Cruz Roja Salvadoreña;A;D;N;5;0;0;6;3
21213890;21213;;;3300;Ministerio de Trabajo y Previsión Social;A;D;N;5;0;0;6;3
21213891;21213;;;3301;Instituto Salvadoreño de Fomento Cooperativo (INSAFOCOOP);A;D;N;5;0;0;6;3
21213892;21213;;;3302;Instituto Salvadoreño de Formación Profesional (INSAFORP);A;D;N;5;0;0;6;3
21213893;21213;;;3303;Instituto Salvadoreño del Seguro Social (ISSS);A;D;N;5;0;0;6;3
21213894;21213;;;3304;Fondo de Protección de Lisiados y Discapacitados a Consecuencia del Conflicto A.;A;D;N;5;0;0;6;3
21213896;21213;;;4100;Ministerio de Economía;A;D;N;5;0;0;6;3
21213897;21213;;;4101;Comité Ejecutivo de la Feria Internacional de El Salvador (FIES);A;D;N;5;0;0;6;3
21213898;21213;;;4102;Consejo Nacional de Ciencia y Tecnología (CONACYT);A;D;N;5;0;0;6;3
21213899;21213;;;4103;Consejo de Vigilancia de la Contaduría Pública y Auditoría;A;D;N;5;0;0;6;3
21213900;21213;;;4104;Instituto Salvadoreño de Turismo (ISTU);A;D;N;5;0;0;6;3
21213901;21213;;;4105;Consejo Salvadoreño del Café (CSC);A;D;N;5;0;0;6;3
21213902;21213;;;4106;Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL);A;D;N;5;0;0;6;3
21213903;21213;;;4107;Fondo de Financiamiento y Garantía para la Pequeña Empresa (FIGAPE);A;D;N;5;0;0;6;3
21213904;21213;;;4108;Corporación Salvadoreña de Turismo (CORSATUR);A;D;N;5;0;0;6;3
21213905;21213;;;4109;Superintendencia General de Electricidad y Telecomunicaciones (SIGET);A;D;N;5;0;0;6;3
21213906;21213;;;4110;Superintendencia de Valores (S.V.);A;D;N;5;0;0;6;3
21213907;21213;;;4111;Superintendencia de Pensiones (S.P.);A;D;N;5;0;0;6;3
21213908;21213;;;4112;Corporación Salvadoreña de Inversiones (CORSAIN);A;D;N;5;0;0;6;3
21213909;21213;;;4113;Instituto Nacional del Azúcar (INAZUCAR);A;D;N;5;0;0;6;3
21213910;21213;;;4115;Fondo de Inversión Nacional de Electricidad y Telefonía (FINET);A;D;N;5;0;0;6;3
21213911;21213;;;2201;Centro Nacional de Registros (CNR);A;D;N;5;0;0;6;3
21213914;21213;;;4200;Ministerio de Agricultura y Ganadería;A;D;N;5;0;0;6;3
21213915;21213;;;4201;Instituto Salvadoreño de Transformación Agraria (ISTA);A;D;N;5;0;0;6;3
21213916;21213;;;4202;Centro Nacional de Tecnología Agropecuaria y Forestal (CENTA);A;D;N;5;0;0;6;3
21213917;21213;;;4203;Escuela Nacional de Agricultura (ENA);A;D;N;5;0;0;6;3
21213919;21213;;;4300;Ministerio de Obras Públicas;A;D;N;5;0;0;6;3
21213920;21213;;;4301;Administración Nacional de Acueductos y Alcantarillados (ANDA);A;D;N;5;0;0;6;3
21213921;21213;;;4302;Fondo Social para la Vivienda (FSV);A;D;N;5;0;0;6;3
21213922;21213;;;4303;Comisión Ejecutiva Portuaria Autónoma (CEPA);A;D;N;5;0;0;6;3
21213925;21213;;;3400;Ministerio de Vivienda y Desarrollo Urbano;A;D;N;5;0;0;6;3
21213926;21213;;;3401;Fondo Nacional de Vivienda Popular (FONAVIPO);A;D;N;5;0;0;6;3
21213928;21213;;;4400;Ministerio del Medio Ambiente y Recursos Naturales;A;D;N;5;0;0;6;3
21213929;21213;;;4401;Fondo Ambiental de El Salvador (FONAES);A;D;N;5;0;0;6;3
21213931;21213;;;4500;Ministerio de Transporte;A;D;N;5;0;0;6;3
21213933;21213;;;;Obligaciones y Transferencias Generales del Estado;A;D;N;5;0;0;6;3
21213934;21213;;;;Deuda Pública;A;D;N;5;0;0;6;3
21213935;21213;;;703;Tesoro Público (DGT);A;D;N;5;0;0;6;3
21213937;21213;;;;Corporación de Municipalidades de la República de El Salvador (COMURES);A;D;N;5;0;0;6;3
21213938;21213;;;;Oficina de Planificación del Area Metropolitana de San Salvador (OPAMSS);A;D;N;5;0;0;6;3
21213940;21213;;;;Instituto de Garantía de Depósito (IGD);A;D;N;5;0;0;6;3
21213950;21213;;;;Municipios del Departamento de San Salvador;A;D;N;5;0;0;6;3
21213951;21213;;;;Municipios del Departamento de Santa Ana;A;D;N;5;0;0;6;3
21213952;21213;;;;Municipios del Departamento de Ahuachapán;A;D;N;5;0;0;6;3
21213953;21213;;;;Municipios del Departamento de Sonsonate;A;D;N;5;0;0;6;3
21213954;21213;;;;Municipios del Departamento de Chalatenango;A;D;N;5;0;0;6;3
21213955;21213;;;;Municipios del Departamento de La Libertad;A;D;N;5;0;0;6;3
21213956;21213;;;;Municipios del Departamento de Cuscatlán;A;D;N;5;0;0;6;3
21213957;21213;;;;Municipios del Departamento de La Paz;A;D;N;5;0;0;6;3
21213958;21213;;;;Municipios del Departamento de San Vicente;A;D;N;5;0;0;6;3
21213959;21213;;;;Municipios del Departamento de Cabañas;A;D;N;5;0;0;6;3
21213960;21213;;;;Municipios del Departamento de Usulután;A;D;N;5;0;0;6;3
21213961;21213;;;;Municipios del Departamento de San Miguel;A;D;N;5;0;0;6;3
21213962;21213;;;;Municipios del Departamento de Morazán;A;D;N;5;0;0;6;3
21213963;21213;;;;Municipios del Departamento de La Unión;A;D;N;5;0;0;6;3
21213971;21213;;;3203;Hospital Nacional de la Mujer;A;D;N;5;0;0;6;3
21213972;21213;;;4206;Consejo Salvadoreño del Café (CSC);A;D;N;5;0;0;6;3
21213975;21213;;;3106;Instituto Salvadoreño para el Desarrollo Integral de la Niñez y la Adolescencia;A;D;N;5;0;0;6;3
21213976;21213;;;4122;Comisión Nacional de la Micro y Pequeña Empresa (CONAMYPE);A;D;N;5;0;0;6;3
21215;212;;;;Anticipo Pago IVA por Retención;A;D;N;4;0;0;6;3
21215001;21215;;;;Anticipo Pago IVA por Retención;A;D;N;5;0;0;6;3
21215935;21215;;;;Tesoro Publico;A;D;N;5;0;0;6;3
21217;212;;;;Anticipo Pago IVA por Percepción;A;D;N;4;0;0;6;3
21217001;21217;;;;Anticipo Pago IVA por Percepción;A;D;N;5;0;0;6;3
21291;212;;;;Anticipos de Fondos al Banco Central de Reserva;A;D;S;4;0;0;6;3
21291001;21291;;;;Anticipos de Fondos al Banco Central de Reserva;A;D;N;5;0;0;6;3
21293;212;;;;Anticipos de Fondos de Convenios a Instituciones Públicas;A;D;S;4;0;0;6;3
21293001;21293;;;;Anticipos de Fondos de Convenios a Instituciones Públicas;A;D;N;5;0;0;6;3
21293800;21293;;;100;Asamblea Legislativa;A;D;N;5;0;0;6;3
21293802;21293;;;1600;Corte Suprema de Justicia;A;D;N;5;0;0;6;3
21293803;21293;;;1601;Caja Mutual del Abogado de El Salvador (CAMUDASAL);A;D;N;5;0;0;6;3
21293804;21293;;;1602;Consejo Nacional de la Judicatura;A;D;N;5;0;0;6;3
21293805;21293;;;200;Corte de Cuentas de la República;A;D;N;5;0;0;6;3
21293807;21293;;;300;Tribunal Supremo Electoral;A;D;N;5;0;0;6;3
21293808;21293;;;301;Registro Nacional de las Personas Naturales;A;D;N;5;0;0;6;3
21293810;21293;;;400;Tribunal de Servicio Civil;A;D;N;5;0;0;6;3
21293812;21293;;;1700;Fiscalía General de la República;A;D;N;5;0;0;6;3
21293814;21293;;;1800;Procuraduría General de la República;A;D;N;5;0;0;6;3
21293816;21293;;;1900;Procuraduría para la Defensa de los Derechos Humanos;A;D;N;5;0;0;6;3
21293818;21293;;;500;Presidencia de la República;A;D;N;5;0;0;6;3
21293819;21293;;;501;Instituto Nacional de los Deportes de El Salvador (INDES);A;D;N;5;0;0;6;3
21293820;21293;;;502;Instituto Salvadoreño de Protección al Menor;A;D;N;5;0;0;6;3
21293821;21293;;;503;Administración Nacional de Telecomunicaciones (ANTEL);A;D;N;5;0;0;6;3
21293822;21293;;;504;Instituto Salvadoreño para el Desarrollo de la Mujer (ISDEMU);A;D;N;5;0;0;6;3
21293823;21293;;;505;Fondo de Inversión Social para el Desarrollo Local de El Salvador (FISDL);A;D;N;5;0;0;6;3
21293824;21293;;;;Fondo Solidario para la Familia Microempresaria (FOSOFAMILIA);A;D;N;5;0;0;6;3
21293825;21293;;;700;Ministerio de Hacienda;A;D;N;5;0;0;6;3
21293826;21293;;;701;Lotería Nacional de Beneficencia (LNB);A;D;N;5;0;0;6;3
21293827;21293;;;702;Instituto Nacional de Pensiones de los Empleados Públicos (INPEP);A;D;N;5;0;0;6;3
21293828;21293;;;704;Fondo Salvadoreño para Estudios de Preinversión (FOSEP);A;D;N;5;0;0;6;3
21293830;21293;;;800;Ministerio de Relaciones Exteriores;A;D;N;5;0;0;6;3
21293831;21293;;;;Secretaría Externa de Financiamiento Externo (SETEFE);A;D;N;5;0;0;6;3
21293833;21293;;;2000;Ministerio del Interior;A;D;N;5;0;0;6;3
21293834;21293;;;2002;Instituto Salvadoreño de Desarrollo Municipal (ISDEM);A;D;N;5;0;0;6;3
21293836;21293;;;900;Ministerio de la Defensa Nacional;A;D;N;5;0;0;6;3
21293837;21293;;;901;Instituto de Previsión Social de la Fuerza Armada (IPSFA);A;D;N;5;0;0;6;3
21293838;21293;;;902;Centro Farmacéutico de la Fuerza Armada (CEFAFA);A;D;N;5;0;0;6;3
21293840;21293;;;2100;Ministerio de Seguridad Pública y Justicia;A;D;N;5;0;0;6;3
21293841;21293;;;2101;Academia Nacional de Seguridad Pública (ANSP);A;D;N;5;0;0;6;3
21293842;21293;;;2102;Unidad Técnica Ejecutiva (UTE);A;D;N;5;0;0;6;3
21293843;21293;;;2200;Ministerio de Justicia;A;D;N;5;0;0;6;3
21293847;21293;;;3100;Ministerio de Educación;A;D;N;5;0;0;6;3
21293848;21293;;;3101;Universidad de El Salvador (UES);A;D;N;5;0;0;6;3
21293849;21293;;;3102;Federación Salvadoreña de Fútbol (FEDEFUTBOL);A;D;N;5;0;0;6;3
21293850;21293;;;3104;Fondo de Garantía para el Crédito Educativo (EDUCREDITO);A;D;N;5;0;0;6;3
21293851;21293;;;3105;Caja Mutual de los Empleados del Ministerio de Educación;A;D;N;5;0;0;6;3
21293853;21293;;;3200;Ministerio de Salud Pública y Asistencia Social;A;D;N;5;0;0;6;3
21293854;21293;;;3201;Hospital Nacional Rosales;A;D;N;5;0;0;6;3
21293855;21293;;;3202;"Hospital Nacional ""Benjamín Bloom""";A;D;N;5;0;0;6;3
21293856;21293;;;3203;"Hospital Nacional de Maternidad ""Dr. Raúl Arguello Escolán""";A;D;N;5;0;0;6;3
21293857;21293;;;3204;"Hospital Nacional Psiquiátrico ""Dr. José Molina Martínez""";A;D;N;5;0;0;6;3
21293858;21293;;;3205;"Hospital Nacional Neumológico ""Dr. José Antonio Zaldaña""";A;D;N;5;0;0;6;3
21293859;21293;;;3206;"Hospital Nacional ""San Juan de Dios"", Santa Ana";A;D;N;5;0;0;6;3
21293860;21293;;;3207;"Hospital Nacional ""Francisco Menéndez"", Ahuachapán";A;D;N;5;0;0;6;3
21293861;21293;;;3208;"Hospital Nacional ""Dr.Jorge Mazzini Villacorta"", Sonsonate";A;D;N;5;0;0;6;3
21293862;21293;;;3209;"Hospital Nacional ""Dr. Luis Edmundo Vásquez"", Chalatenango";A;D;N;5;0;0;6;3
21293863;21293;;;3210;"Hospital Nacional ""San Rafael"", Nueva San Salvador";A;D;N;5;0;0;6;3
21293864;21293;;;3211;"Hospital Nacional ""Santa Gertrudis"", San Vicente";A;D;N;5;0;0;6;3
21293865;21293;;;3212;"Hospital Nacional ""Santa Teresa"", Zacatecoluca";A;D;N;5;0;0;6;3
21293866;21293;;;3213;"Hospital Nacional ""San Juan de Dios"", San Miguel";A;D;N;5;0;0;6;3
21293867;21293;;;3214;"Hospital Nacional ""San Pedro"", Usulután";A;D;N;5;0;0;6;3
21293868;21293;;;3215;"Hospital Nacional ""Dr. Juan José Fernández"", Zacamil";A;D;N;5;0;0;6;3
21293869;21293;;;3216;Hospital Nacional de San Bartolo;A;D;N;5;0;0;6;3
21293870;21293;;;3217;Hospital Nacioonal de Cojutepeque;A;D;N;5;0;0;6;3
21293871;21293;;;3218;Hospital Nacional de La Unión;A;D;N;5;0;0;6;3
21293872;21293;;;3219;Hospital Nacional de Ilobasco;A;D;N;5;0;0;6;3
21293873;21293;;;3220;Hospital Nacional de Nueva Guadalupe;A;D;N;5;0;0;6;3
21293874;21293;;;3221;Hospital Nacional de Ciudad Barrios;A;D;N;5;0;0;6;3
21293875;21293;;;3222;Hospital Nacional de Sensuntepeque;A;D;N;5;0;0;6;3
21293876;21293;;;3223;Hospital Nacional de Chalchuapa;A;D;N;5;0;0;6;3
21293877;21293;;;3224;Hospital Nacional de Metapán;A;D;N;5;0;0;6;3
21293878;21293;;;3225;Hospital Nacional de San Francisco Gotera;A;D;N;5;0;0;6;3
21293879;21293;;;3226;Hospital Nacional de Santa Rosa de Lima;A;D;N;5;0;0;6;3
21293880;21293;;;3227;Hospital Nacional de Nueva Concepción;A;D;N;5;0;0;6;3
21293881;21293;;;3228;Hospital Nacioinal de Santiago de María;A;D;N;5;0;0;6;3
21293882;21293;;;3229;Hospital Nacional de Jiquilisco;A;D;N;5;0;0;6;3
21293883;21293;;;3230;Hospital Nacional de Suchitoto;A;D;N;5;0;0;6;3
21293884;21293;;;3231;Consejo Superior de Salud Pública;A;D;N;5;0;0;6;3
21293885;21293;;;3232;Instituto Salvadoreño de Rehabilitación de Inválidos (ISRI);A;D;N;5;0;0;6;3
21293886;21293;;;3233;"Hogar de Ancianos ""Narcisa Castillo"", Santa Ana";A;D;N;5;0;0;6;3
21293887;21293;;;3234;Cruz Roja Salvadoreña (CR);A;D;N;5;0;0;6;3
21293890;21293;;;3300;Ministerio de Trabajo y Previsión Social;A;D;N;5;0;0;6;3
21293891;21293;;;3301;Instituto Salvadoreño de Fomento Cooperativo (INSAFOCOOP);A;D;N;5;0;0;6;3
21293892;21293;;;3302;Instituto Salvadoreño de Formación Profesional (INSAFORP);A;D;N;5;0;0;6;3
