code;name;description
11514;Ad-valorem sobre Bebidas Isotónicas o Deportivas, Fortificantes, Jugos, Néctares, Bebidas con Jugo, Refrescos y Preparaciones Concentradas o en Polvo;Comprende el impuesto ad-valorem sobre el precio de venta sugerido al público, declarado a la Administración Tributaria por el productor o importador de bebidas isotónicas o deportivas, fortificantes, jugos, néctares, bebidas con jugo, refrescos y preparaciones concentradas o en polvo, de conformidad a lo establecido en la Ley de Impuesto sobre las Bebidas Gaseosas, Isotónicas, Fortificantes o Energizantes, Jugos, Néctares, Refrescos y Preparaciones Concentradas o en Polvo para la Elaboración de Bebidas.
11515;Ad-valorem sobre Combustibles;Comprende el impuesto ad-valorem sobre la distribución de combustibles (gasohol, diésel, gasolina o sus mezclas con otros carburantes), realizada por el productor, importador o internador, así como el retiro del inventario, de conformidad a lo establecido en la Ley de Impuesto Especial sobre Combustible. 
11516;Ad-valorem sobre Armas de Fuego, Municiones, Explosivos y Artículos Similares;Comprende el impuesto sobre la venta o cualquier otra forma de transferencia de propiedad que después de la producción o importación, efectúen los productores o importadores, de conformidad a lo establecido en el Art. 10 de la Ley de Gravámenes Relacionados con el Control y Regulación de Armas de Fuego, Municiones, Explosivos y Artículos Similares.
11517;Específico sobre Alcohol Etílico Potable;"Comprende el impuesto específico, para la producción y la importación de alcohol etílico potable; así como retiro o desafectación de los inventarios del mencionado producto, de conformidad a lo establecido en la Ley Reguladora de la Producción y Comercialización del Alcohol y de las Bebidas Alcohólicas. "
116;Impuestos Diversos;"Comprende el impuesto específico, para la producción y la importación de alcohol etílico potable; así como retiro o desafectación de los inventarios del mencionado producto, de conformidad a lo establecido en la Ley Reguladora de la Producción y Comercialización del Alcohol y de las Bebidas Alcohólicas. "
11601;De Migración y Turismo;Comprende los impuestos relacionados con el movimiento migratorio, tales como el impuesto que se cobra por salir o ingresar al país.
11602;Sobre Llamadas Telefónicas Provenientes del Exterior;Comprende el impuesto específico a las llamadas telefónicas entrantes provenientes del exterior, que terminen en El Salvador, a través de los operadores concesionarios del servicio público de telefonía, incluyendo las llamadas de cobro revertido.
11603;Impuesto especial a la primera matrícula de bienes en el territorio nacional;Comprende el impuesto que se paga como requisito previo, para matricular bienes por primera vez en el territorio nacional.
11604;Impuesto a las Operaciones Financieras ;Comprende el impuesto que recaerá sobre el valor pagado de cualquier tipo de cheque y las transferencias electrónicas realizadas en el territorio nacional, en moneda de legal circulación en el país, cuyo valor a pagar se determina conforme la base imponible del impuesto y sobre el monto de las transacciones u operaciones gravadas, de acuerdo a las regulaciones específicas contenidas en la Ley del Impuesto a las Operaciones Financieras.
11605;Por Retenciones del Impuesto a las Operaciones Financieras para el Control de Liquidez ;Comprende los ingresos que se originan por los pagos obligatorios efectuados por personas jurídicas de derecho privado y público, con domicilio en el país, destinados a compensar el impuesto a la renta del ejercicio de que se trate, las retenciones a personas naturales y jurídicas por similar concepto y las aplicaciones a los anticipos de impuestos originados durante el ejercicio fiscal anterior.
119;Anticipo de Impuesto sobre la Renta;Comprende los ingresos que se originan por los pagos obligatorios efectuados por personas jurídicas de derecho privado y público, con domicilio en el país, destinados a compensar el impuesto a la renta del ejercicio de que se trate, las retenciones a personas naturales y jurídicas por similar concepto y las aplicaciones a los anticipos de impuestos originados durante el ejercicio fiscal anterior.
11901;Sobre la Renta de Personas Naturales Asalariadas;Comprende los ingresos provenientes de las retenciones a personas naturales asalariadas en concepto de anticipo de impuestos sobre la renta, para ser liquidado en el año correspondiente.
11902;Aplicación Impuesto sobre la Renta de Personas Naturales Asalariadas;Comprende el monto total recaudado en concepto de retenciones a personas naturales asalariadas durante el ejercicio fiscal anterior, que se disminuye del monto de la renta bruta obtenida.
11903;Sobre la Renta de Personas Naturales no Asalariadas;Comprende los ingresos provenientes de las retenciones a personas naturales no asalariadas en concepto de anticipo de impuestos sobre la renta, para ser liquidado en el año correspondiente.
11904;Aplicación Impuesto sobre la Renta de Personas Naturales no Asalariadas;Comprende el monto total recaudado en concepto de retenciones a personas naturales no asalariadas durante el ejercicio fiscal anterior, que se disminuye del monto de la renta bruta obtenida.
11905;Sobre la Renta de Personas Jurídicas y Otros;Comprende el pago o anticipo a cuenta, el cual consiste en enteros obligatorios hechos por personas jurídicas de derecho privado y público domiciliadas y otros sujetos pasivos, a excepción de las previstas en las leyes tributarias.
11906;Aplicación Impuesto sobre la Renta de Personas Jurídicas y Otros;Comprende el monto total recaudado en concepto de pago o anticipo a cuenta efectuados por personas jurídicas y otros sujetos pasivos, a excepción de las previstas en las leyes tributarias, durante el ejercicio fiscal anterior, que se disminuye del monto de la renta bruta obtenida.
11907;Sobre la Renta de Personas Naturales;Comprende el pago o anticipo a cuenta, el cual consiste en enteros obligatorios hechos por personas naturales titulares de empresas mercantiles y profesionales liberales, a excepción de las previstas en las leyes tributarias.
11908;Aplicación Impuesto sobre la Renta de Personas Naturales;Comprende el monto total recaudado en concepto de pago o anticipo a cuenta efectuado por personas naturales titulares de empresas mercantiles y profesionales liberales, a excepción de las previstas en las leyes tributarias, durante el ejercicio fiscal anterior, que se disminuye del monto de la renta bruta obtenida.
12;TASAS Y DERECHOS;Incluye los gravámenes fijados por las Leyes y Reglamentos vigentes, originados por servicios que se proporcionan a la sociedad o como consecuencia de la habilitación para ejecutar determinadas actividades públicas o privadas.
121;Tasas;Comprende los ingresos por servicios prestados por las entidades y organismos del Estado que no constituyen actividad comercial, industrial o servicio retribuido por su costo.
12101;Por Uso de Infraestructura Aeroportuaria;Comprende los ingresos por la prestación de servicios provenientes de la regulación del transporte aéreo nacional e internacional, en la atención de las operaciones aéreas en aterrizajes y despegues y en lo referente a las regulaciones de la aviación civil.
12102;Por Uso de Centros Destinados a Almacenajes;"Comprende los ingresos provenientes de la prestación de servicios en concepto de almacenaje y bodegaje; incluyendo los que se generan por el vencimiento de los plazos de almacenaje libre, de las mercancías que ingresen a los depósitos temporales administrados por las aduanas de la República."
12103;Por Intermediación o Supervisión en la Internación de Bienes y Servicios;Comprende los ingresos provenientes de la prestación de servicios de intermediación o supervisión en el suministro de bienes y servicios, tales como el petróleo.
12104;Por Servicios de Asistencia Técnica y Uso de Laboratorios;Comprende los ingresos provenientes de la prestación de servicios técnicos, tales como servicios de laboratorio, asistencia técnica agropecuaria, servicios de control de calidad y otros.
12105;Por Servicios de Certificación o Visado de Documentos;Comprende los ingresos provenientes de servicios de visado, expedición, auténtica de documentos y testimonios, constancias y certificaciones de cualquier tipo.
12106;Por Expedición de Documentos de Identificación;Comprende los ingresos provenientes de la expedición, revalidación o reposición de documentos de identificación, tales como pasaportes, carné de centroamericanos, extranjeros residentes, cédulas de identidad personal, carné de minoridad, de afiliación, etc.
12107;Por Acceso a Lugares Públicos;Comprende los ingresos provenientes del uso o permanencia en lugares públicos tales como parques, balnearios, museos, centros deportivos, históricos y culturales, etc.
12108;Por la Prestación de Servicios de Inspección No Intrusiva;Comprende los ingresos provenientes por la prestación de los servicios de inspección no intrusiva que inician desde el análisis de riesgo a que son sometidas las operaciones y consistirá, entre otros aspectos, en verificaciones sobre la naturaleza, estado, peso, cantidad y demás características de las mercancías que se colocan a su disposición, de acuerdo al análisis de riesgo previamente realizado
12199;Tasas Diversas;Comprende los ingresos obtenidos por la prestación de servicios no considerados en los específicos anteriores
122;Derechos;Comprende los ingresos por autorizaciones para ejercer determinadas actividades en campos específicos del quehacer económico nacional.
12201;Por Registro de Comercio;Comprende los ingresos provenientes de los derechos del registro de matrículas de comercio, legalización de libros de contabilidad y otros documentos mercantiles.
12202;Por Inscripción en el Registro de Bienes Raíces e Hipotecas;"Comprende los ingresos provenientes en concepto de los derechos por el registro de la propiedad raíz e hipotecas; así como por las constancias y certificaciones extendidas."
12203;Por Permisos y Matrículas de Armas;Comprende los ingresos provenientes de la matrícula de portación y tenencia de armas de fuego.
12204;Por Examen y Matrículas de Estudiantes;Comprende los ingresos provenientes de los derechos de matrícula y exámenes de estudiantes.
12205;Por Permisos de Circulación de Vehículos;Comprende los ingresos provenientes de los derechos por la circulación, traspaso de propiedad y modificación de características de vehículos automotores.
12206;Por Licencias para Conducir o Similares;Comprende los ingresos provenientes de la expedición y revalidación de licencias de conducir, tarjetas de aprendizaje, de cobrador, licencias de pilotos aviadores y otros.
12207;Por Patentes, Marcas de Fábrica y Otros;Comprende los ingresos provenientes de los derechos del registro de activos intangibles, tales como franquicias, privilegios, derechos de propiedad intelectual, comercial e industrial.
12208;Por Regalías;Comprende los ingresos provenientes de las exploraciones y explotaciones del subsuelo, del mar territorial y otros recursos naturales, así como cualquier compensación por el uso de bienes intangibles propiedad de los entes públicos.
12209;Consulares;Comprende los ingresos generados por los servicios que proporcionan los consulados y embajadas del servicio exterior.
12299;Derechos Diversos;Comprende los ingresos de otros derechos y cargos no considerados en los específicos anteriores.
13;CONTRIBUCIONES A LA SEGURIDAD SOCIAL;Incluye los ingresos provenientes de aportes y contribuciones a favor del sistema de seguridad social, de conformidad a lo establecido en las Leyes vigentes.
131;Del Sector Privado;Comprende los aportes de empleados y empleadores de entes del sector privado, destinados a cotizar en el sistema de seguridad social.
13101;Contribuciones Patronales;Ingresos provenientes de las contribuciones patronales que efectúan las instituciones del sector privado a los sistemas de seguridad social.
13102;Contribuciones Laborales;Ingresos provenientes de las cotizaciones que hacen los empleados del sector privado a los sistemas de seguridad social
132;Del Sector Público;Comprende los aportes de empleados y empleadores de entes públicos, destinados a cotizar en el sistema de seguridad social.
13201;Contribuciones Patronales;Ingresos provenientes de las contribuciones patronales que efectúan las instituciones del sector público a los sistemas de seguridad social.
13202;Contribuciones Laborales;Ingresos provenientes de las cotizaciones que hacen los empleados del sector público a los sistemas de seguridad social.
13203;Contribuciones Estatales;Ingresos provenientes de los aportes a los sistemas de seguridad social que efectúa el Estado.
14;VENTA DE BIENES Y SERVICIOS;Incluye los ingresos originados en las ventas de bienes y servicios, provenientes del giro comercial, industrial o servicios producto de actividades institucionales.
141;Venta de Bienes;Comprende los ingresos provenientes de la venta de bienes destinados a la comercialización, como resultado de procesos de producción, transformación, intermediación, distribución u otra forma de actividad mercantil.
14101;Venta de Bienes Comerciales;Incluye los ingresos provenientes de la venta de bienes finales, que no han requerido procesos de producción o transformación en la institución y que son destinados directamente a la comercialización.
14102;Venta de Bienes Industriales;Incluye los ingresos provenientes de la venta de bienes que han requerido procesos de producción o transformación dentro de los entes públicos y que son destinados a la comercialización.
14199;Venta de Bienes Diversos;Incluye los ingresos provenientes de la venta de bienes no considerados en los específicos anteriores.
142;Ingresos por Prestación de Servicios Públicos;Comprende los ingresos provenientes de las tarifas o valores fijados por la prestación de servicios de entes públicos, sin que representen gravámenes de tasas o derechos.
14201;Servicios Básicos;Comprende los ingresos provenientes de la venta de servicios básicos que hacen los entes públicos tales como: agua, energía eléctrica, etc.
14202;Servicios de Educación y Salud;Comprende los ingresos por la prestación de servicios educacionales, culturales y de salud, proporcionados por las instituciones públicas, tales como: presentaciones culturales, cuotas estudiantiles, servicios médicos y hospitalarios, etc.
14203;Servicios Turísticos y Ecológicos;Comprende los ingresos por la prestación de servicios turísticos y ecológicos proporcionados por las instituciones públicas, tales como: guías turísticos, excursiones, hostelería, etc.
14204;Servicios de Transporte y Correos;Comprende los ingresos por la prestación de servicios de transporte y correos proporcionados por las instituciones públicas, tales como: envíos postales, courier, correos expresos, etc.
14205;Servicios Portuarios;Comprende los ingresos provenientes de la prestación de servicios de puertos tales como: embarque, desembarque, trasbordo, custodia, manejo y almacenamiento de mercadería de exportación e importación, etc.
14206;Servicios Aeroportuarios;Comprende los ingresos provenientes de la prestación de servicios de aeropuertos tales como: embarque, desembarque, trasbordo, iluminación de pistas de aterrizaje, estacionamiento de aeronaves, aprovisionamiento de combustible, custodia, manejo y almacenamiento de mercadería de exportación e importación, etc.
14207;Servicios Ferroviarios;Comprende los ingresos provenientes de la prestación de servicios de transporte y carga de personas y mercaderías en general.
14208;Servicios de Fiscalización;Comprende los ingresos provenientes de la prestación de servicios de los entes públicos que de acuerdo a sus Leyes y Reglamentos les corresponde la labor de fiscalización.
14209;Servicios de Destrucción de Mercancías;Comprende los ingresos provenientes por la prestación de servicios de destrucción de mercancías, que durante el procedimiento de verificación no intrusiva o en cualquier momento previo al levante de la misma, se determinare que debe ser destruida por cualquier circunstancia.
14210;Servicios Aduaneros en Jornadas Extraordinarias;Comprende los ingresos provenientes de la prestación de servicios en Jornadas Extraordinarias por parte de la Dirección General de Aduanas, a través de las Aduanas y Delegaciones de Aduanas de la República.
14211;Servicios Aduaneros por incremento de personal;Comprende los ingresos provenientes de la prestación de servicios aduaneros por parte de la Dirección General de Aduanas, por incremento de personal con carácter permanente en las Delegaciones de Aduanas de la República, a solicitud del Administrador de Zona Franca o de Parques de Servicios. 
14299;Servicios Diversos;Comprende los ingresos provenientes de la prestación de servicios no considerados en los específicos anteriores.
143;Ventas de Desechos y Residuos;Comprende las ventas de bienes, subproductos, residuos, chatarras, desperdicios u otros productos no aptos para el consumo en sus condiciones normales de uso.
14301;De Bienes Comerciales;Comprende los ingresos provenientes de la venta de productos que se encuentran defectuosos, averiados, obsoletos u otras causas que los determinan como no aptos para el consumo o uso institucional.
14302;De Bienes Industriales;Comprende los ingresos provenientes de la venta de desechos industriales, que se determinan no aptos para el consumo o uso institucional.
14399;De Bienes Diversos;Comprende los ingresos provenientes de la venta de desechos y residuos de bienes no considerados en los específicos anteriores. Se incluye la venta de chatarras.
149;Débito Fiscal;Comprende los débitos fiscales por las ventas de bienes y servicios efectuados por entes públicos, dentro del giro comercial, industrial o servicio, siempre y cuando sean contribuyentes activos del impuesto a la transferencia de bienes muebles y prestación de servicios.
14901;Débito Fiscal;
15;INGRESOS FINANCIEROS Y OTROS;Comprende los débitos fiscales por las ventas de bienes y servicios efectuados por entes públicos, dentro del giro comercial, industrial o servicio, siempre y cuando sean contribuyentes activos del impuesto a la transferencia de bienes muebles y prestación de servicios.
151;Rendimientos de Títulos valores;Comprende los ingresos provenientes de la rentabilidad de las inversiones financieras, sea en calidad intereses, reajustabilidad u otra de compensación monetaria.
15101;Rentabilidad Financiera de Bonos;Comprende los ingresos provenientes del rendimiento de la inversión financiera en bonos emitidos por entidades nacionales.
15102;Rentabilidad Financiera de Letras del Tesoro;Comprende los ingresos obtenidos por el rendimiento de la inversión financiera en Letras del Tesoro.
15104;Rentabilidad de Cédulas Hipotecarias;Comprende los ingresos obtenidos por el rendimiento de la inversión financiera en Cédulas Hipotecarias.
15105;Rentabilidad de Depósitos a Plazos;Ingresos provenientes en concepto de intereses por depósitos en instituciones del sistema financiero local.
15106;Dividendos de Acciones;Comprende los ingresos provenientes de los dividendos por la inversión financiera en acciones de sociedades y empresas públicas o privadas.
15107;Dividendos de Participación de Capital;Comprende los ingresos provenientes de la inversión financiera en la participación de capital que no está representada por acciones, tales como la participación de capital en sociedades de personas.
15108;Rentabilidad de Inversiones en el Exterior;Ingresos provenientes en concepto de la rentabilidad financiera obtenida por inversiones en depósitos y valores negociables, realizadas en el resto del mundo.
15109;Dividendos de Inversiones en el Exterior;Ingresos provenientes de los dividendos por inversiones en acciones y participaciones de capital, realizadas en sociedades y empresas del resto del mundo.
15199;Otras Rentabilidades Financieras;Comprende los ingresos por otras rentabilidades, dividendos y participaciones de capital no consideradas en los específicos anteriores.
152;Intereses por Préstamos;Comprende los ingresos provenientes del interés pactado en los convenios o contratos por los préstamos concedidos a entes públicos o privados.
15201;Al Gobierno Central;Comprende los ingresos provenientes de intereses por préstamos concedidos a instituciones del Gobierno Central.
15202;A Instituciones Descentralizadas no Empresariales;Comprende los ingresos provenientes de intereses por préstamos concedidos a instituciones descentralizadas no empresariales.
15203;Empresas Públicas no Financieras;Comprende los ingresos provenientes de intereses por préstamos concedidos a empresas públicas no financieras.
15204;A Empresas Públicas Financieras;Comprende los ingresos provenientes de intereses por préstamos concedidos a empresas públicas financieras.
15205;A Instituciones de Seguridad Social;Comprende los ingresos provenientes de intereses por préstamos concedidos a instituciones de Seguridad Social.
15206;A Municipalidades;Comprende los ingresos provenientes de intereses por préstamos concedidos a las Municipalidades.
15207;A Empresas Privadas no Financieras;Comprende los ingresos provenientes de intereses por préstamos concedidos a empresas privadas no financieras.
15208;A Empresas Privadas Financieras;Comprende los ingresos provenientes de intereses por préstamos concedidos a empresas privadas financieras.
15209;A Organismos sin Fines de Lucro;Comprende los ingresos provenientes de intereses por préstamos concedidos a organismos sin fines de lucro.
15210;A Personas Naturales;Comprende los ingresos provenientes de intereses por préstamos concedidos a personas naturales.
153;Multas e Intereses por Mora;Comprende los ingresos exigibles por atrasos o infracciones a las obligaciones tributarias, seguridad social o créditos otorgados por los entes públicos, de conformidad con las disposiciones legales o los convenios suscritos.
15301;Multas por Mora de Impuestos;Comprende los ingresos provenientes de multas por infracciones a las Leyes Tributarias.
15302;Intereses por Mora de Impuestos;Comprende los ingresos provenientes de intereses por el pago extemporáneo de impuestos.
15303;Multas por Mora de Seguridad Social;Comprende los ingresos provenientes de multas por infracciones a las Leyes de la Seguridad Social.
15304;Intereses por Mora de Seguridad Social;Comprende los ingresos provenientes de los intereses por el pago extemporáneo de las contribuciones a la seguridad social.
15305;Intereses por Mora en Amortización de Préstamos;Comprende los ingresos provenientes de intereses por el pago extemporáneo de los montos pactados en convenios y contratos.
15306;Multas por Infracciones de Tránsito;Comprende los ingresos provenientes de multas por infracciones a la Ley General de Transporte Terrestre, Tránsito y Seguridad Vial.
15307;Intereses por Mora en Infracciones de Tránsito;Comprende los ingresos provenientes de los intereses por el pago extemporáneo de la multa por infracciones a la Ley General de Transporte Terrestre, Tránsito y Seguridad Vial.
15399;Multas e Intereses Diversos;Comprende los ingresos provenientes de intereses y multas no considerados en los específicos anteriores.
154;Arrendamiento de Bienes;Comprende los ingresos originados en alquileres de bienes muebles e inmuebles de propiedad del Estado.
15401;Arrendamientos de Bienes Muebles;Ingresos que se originan por los alquileres de mobiliario y equipo en general. Incluye maquinarias, equipos médicos, de laboratorios, informáticos, vehículos de transportes, etc.
15402;Arrendamientos de Bienes Inmuebles;Ingresos que se originan por los alquileres de terrenos, edificios e instalaciones.
15403;Arrendamientos de Espacios Interiores o Exteriores y de Oficinas;Comprende los Ingresos que se originan por arrendamientos de espacios dentro o fuera del establecimiento de la institución, como por ejemplo oficinas para prestar servicios relacionados a trámites, servicios de alimentación, de fotocopia, sanitarios, entre otros.
15499;Arrendamientos de Bienes Diversos;Ingresos que se originan por los alquileres de bienes muebles e inmuebles no considerados en los específicos anteriores.
155;Garantías y Fianzas;Comprende los ingresos provenientes de la ejecución de garantías y fianzas recibidas por los entes públicos, cuyo objetivo esta destinados al cumplimiento de contratos o acuerdos pactados.
15501;Garantías de Contratos de Obras;Ingresos que provienen de la ejecución de garantías por el incumplimiento de contratos de obras, programas y proyectos de inversión diversos.
15502;Garantías de Contratos Generales;Ingresos que provienen de la ejecución de garantías por el incumplimiento de contratos de suministros diversos.
15503;Fianzas;Ingresos que provienen de la ejecución de fianzas recibidas por las instituciones del sector público destinadas al cumplimiento de contratos o acuerdos pactados.
156;Indemnizaciones y Valores no Reclamados;Comprende los ingresos originados en la compensación por pérdidas o daños de bienes muebles e inmuebles de propiedad del Estado, y los valores no reclamados por los beneficiarios, incluyendo los excedentes en la venta o remate de las mercaderías decomisadas o abandonadas.
15601;Excedentes de Mercaderías Decomisadas o Abandonadas;Comprende el producto de los excedentes en la venta o remate de las mercaderías decomisadas o caídas en abandono, según las leyes vigentes. El valor del impuesto deberá aplicarse en el específico correspondiente.
15602;Compensaciones por Pérdidas o Daños de Bienes Muebles;Comprende los ingresos que se perciben de compensaciones recibidas por pérdidas o daños a maquinaria, equipo y mobiliario en general, tales como: equipos médicos, de laboratorios, informáticos, vehículos de transporte, muebles de oficina, etc.
15603;Compensaciones por Daños de Bienes Inmuebles;Comprende los ingresos que provienen de compensaciones por daños a terrenos, edificaciones e instalaciones en general.
15699;Compensaciones por Pérdidas o Daños de Bienes Diversos;Comprende los ingresos que provienen de compensaciones por pérdidas o daños a bienes no considerados en los específicos anteriores.
157;Otros Ingresos no Clasificados;Comprende todo ingreso no previsto en los restantes rubros corrientes del clasificador.
15701;Diferenciales Cambiarios;Ingresos que se perciben por la fluctuación positiva en el tipo de cambio de la moneda nacional con relación a las monedas extranjeras.
15702;Primas de Seguros;Comprende los ingresos que provienen de las primas de seguros por cualquier modalidad, recibidas por la Caja Mutual de los Empleados del Ministerio de Educación, Caja Mutual del Abogado y otras instituciones de seguridad social que de acuerdo a sus leyes de creación, se dediquen a proporcionar este tipo de servicios.
15703;Rentabilidad de Cuentas Bancarias;Comprende los ingresos provenientes de la rentabilidad de los depósitos en cuentas bancarias.
15799;Ingresos Diversos;Comprende los ingresos no considerados en los específicos anteriores y en los restantes rubros de ingresos corrientes del clasificador.
158;Ingresos por Resoluciones Judiciales;Comprende los ingresos provenientes de sentencias emitidas por un Juzgado, el cual resuelve de forma favorable al Estado la transferencia definitiva de efectivo o sus equivalentes, así como los recursos monetarios provenientes de la liquidación de los bienes o títulos valores de procedencia ilícita, como resultado de la acción de extinción de dominio.
15801;Efectivo o Equivalentes por Extinción de Dominio ;Comprende los ingresos provenientes de sentencias emitidas por un juzgado en particular donde resuelve a favor del Estado el pago o transferencia definitiva de efectivo o sus equivalentes, producto de la aplicación de la Ley Especial de Extinción de Dominio y de la Administración de Bienes de Origen o Destinación Ilícita.
